ownername,car_no,dealername,ownercity,model,price_in_usd
John Davis,BMW2038,Group 1 Automotive,San Antonio,BMW X7,51647.83
Alex Williams,BMW6642,Sonic Automotive,San Antonio,BMW X7,94541.25
Michael Jones,BMW1819,AutoNation,Philadelphia,BMW X1,99453.24
Chris Jones,BMW1475,Hendrick Automotive,Phoenix,BMW X3,86487.89
David Brown,BMW1297,Lithia Motors,San Antonio,BMW X3,61901.52
Alex Johnson,BMW6229,CarMax,Chicago,BMW X5,56173.34
Sarah Williams,BMW3842,Sonic Automotive,Los Angeles,BMW 3 Series,50070.2
Laura Taylor,BMW8673,AutoNation,San Jose,BMW X1,81048.42
Emily Moore,BMW1657,Sonic Automotive,Los Angeles,BMW X3,53776.26
Laura Jones,BMW2086,AutoNation,Dallas,BMW 7 Series,58813.44
Jane Williams,BMW7314,AutoNation,Houston,BMW 5 Series,80360.16
Katie Taylor,BMW2183,Hendrick Automotive,Los Angeles,BMW 5 Series,77192.99
Alex Wilson,BMW9295,Penske Automotive,San Jose,BMW 7 Series,87139.45
Sarah Williams,BMW8391,Penske Automotive,Phoenix,BMW X5,85701.77
Sarah Williams,BMW5533,Sonic Automotive,Los Angeles,BMW X5,86569.04
Sarah Davis,BMW3042,Penske Automotive,New York,BMW X5,52885.13
Chris Williams,BMW8363,Lithia Motors,San Diego,BMW 7 Series,42197.67
David Moore,BMW2822,Group 1 Automotive,Chicago,BMW X3,51014.8
Katie Brown,BMW1281,Lithia Motors,Phoenix,BMW X5,60561.15
Jane Jones,BMW5413,CarMax,New York,BMW X3,42053.76
Jane Williams,BMW7885,Sonic Automotive,Philadelphia,BMW Z4,98170.22
Michael Taylor,BMW7721,CarMax,Philadelphia,BMW X7,98950.42
Laura Williams,BMW5624,Hendrick Automotive,San Jose,BMW Z4,38651.92
Emily Jones,BMW1647,CarMax,Chicago,BMW 5 Series,44608.28
Jane Miller,BMW4652,Sonic Automotive,Chicago,BMW X3,49850.59
Sarah Jones,BMW3970,Group 1 Automotive,Chicago,BMW X5,98455.01
John Davis,BMW9779,Hendrick Automotive,Chicago,BMW 5 Series,61665.89
David Jones,BMW1191,AutoNation,Philadelphia,BMW 3 Series,75625.48
Alex Taylor,BMW7315,Group 1 Automotive,Chicago,BMW Z4,65964.68
Michael Taylor,BMW7404,Hendrick Automotive,San Antonio,BMW X3,77173.36
Katie Brown,BMW4252,Lithia Motors,Philadelphia,BMW X3,51753.9
John Williams,BMW1811,Group 1 Automotive,San Antonio,BMW 5 Series,67114.19
David Jones,BMW8956,AutoNation,San Diego,BMW X5,44974.38
Alex Wilson,BMW2715,Penske Automotive,Dallas,BMW 3 Series,67598.22
Jane Davis,BMW1538,AutoNation,San Jose,BMW 5 Series,46058.9
Laura Jones,BMW5500,Lithia Motors,San Antonio,BMW Z4,41508.22
John Williams,BMW6374,Sonic Automotive,San Diego,BMW 3 Series,75973.69
David Johnson,BMW1455,Hendrick Automotive,Chicago,BMW X3,55230.81
Alex Williams,BMW7489,Lithia Motors,Phoenix,BMW X5,85966.87
Chris Wilson,BMW4910,AutoNation,Los Angeles,BMW 5 Series,42641.38
John Jones,BMW4090,Hendrick Automotive,San Antonio,BMW 7 Series,59064.58
Chris Davis,BMW7202,CarMax,San Antonio,BMW X5,53487.94
Chris Davis,BMW5079,CarMax,Dallas,BMW 3 Series,52780.45
Michael Moore,BMW8592,AutoNation,Philadelphia,BMW X1,83902.37
Katie Davis,BMW2316,CarMax,Chicago,BMW 7 Series,83491.6
Alex Jones,BMW7469,Sonic Automotive,Philadelphia,BMW X3,70862.26
Jane Smith,BMW9821,Group 1 Automotive,Los Angeles,BMW 5 Series,55348.56
John Jones,BMW4865,Group 1 Automotive,Dallas,BMW 3 Series,92507.92
Sarah Wilson,BMW6840,Lithia Motors,San Jose,BMW Z4,77444.63
Chris Williams,BMW1052,Lithia Motors,Phoenix,BMW X5,69427.94
Michael Smith,BMW5898,Group 1 Automotive,San Antonio,BMW X5,49105.37
Jane Smith,BMW6534,Group 1 Automotive,Los Angeles,BMW X3,50687.68
Emily Moore,BMW1639,Lithia Motors,Philadelphia,BMW X5,93370.13
Emily Taylor,BMW6217,Lithia Motors,Philadelphia,BMW Z4,96394.36
John Miller,BMW3943,Penske Automotive,New York,BMW 7 Series,99899.78
Alex Moore,BMW4642,Group 1 Automotive,San Diego,BMW X7,35915.66
Jane Wilson,BMW4063,CarMax,San Antonio,BMW 5 Series,98973.2
Emily Miller,BMW6012,AutoNation,Los Angeles,BMW X1,37327.0
Jane Miller,BMW9333,Penske Automotive,San Jose,BMW X1,73029.1
Sarah Wilson,BMW9200,Lithia Motors,San Diego,BMW X7,93040.66
Katie Miller,BMW9336,Sonic Automotive,Philadelphia,BMW 7 Series,50152.52
Jane Smith,BMW9724,Sonic Automotive,San Jose,BMW X3,65683.55
Jane Johnson,BMW6739,Group 1 Automotive,Dallas,BMW X1,62626.84
Emily Davis,BMW1158,Lithia Motors,Los Angeles,BMW X3,64501.28
Jane Williams,BMW8587,Penske Automotive,San Diego,BMW 5 Series,59941.92
Katie Moore,BMW4387,Group 1 Automotive,Phoenix,BMW X1,68405.43
Emily Jones,BMW3872,Sonic Automotive,Philadelphia,BMW X1,48119.08
Laura Taylor,BMW7178,Sonic Automotive,San Jose,BMW Z4,88916.37
Katie Davis,BMW3650,CarMax,Phoenix,BMW X1,49138.39
Laura Jones,BMW5222,Penske Automotive,Dallas,BMW X7,53153.6
Emily Jones,BMW3189,Penske Automotive,San Diego,BMW 7 Series,39338.54
Sarah Smith,BMW2535,Lithia Motors,Houston,BMW Z4,47853.39
Michael Davis,BMW3461,AutoNation,Chicago,BMW X1,95075.17
Alex Miller,BMW2998,Group 1 Automotive,Philadelphia,BMW X1,97281.48
Michael Davis,BMW8820,Group 1 Automotive,Houston,BMW X3,36650.0
Katie Jones,BMW1781,Penske Automotive,New York,BMW X1,59961.87
John Moore,BMW6435,Penske Automotive,San Antonio,BMW X7,49672.96
John Taylor,BMW7644,AutoNation,Los Angeles,BMW 7 Series,78954.38
David Davis,BMW9496,Sonic Automotive,San Antonio,BMW 3 Series,48253.62
John Davis,BMW8499,CarMax,San Antonio,BMW X3,35367.61
Chris Johnson,BMW1378,Group 1 Automotive,New York,BMW 5 Series,46680.19
David Moore,BMW5191,AutoNation,San Antonio,BMW 5 Series,62817.12
Michael Taylor,BMW4603,CarMax,San Diego,BMW X7,94446.96
John Williams,BMW4164,Penske Automotive,Philadelphia,BMW 3 Series,62695.35
Chris Johnson,BMW1730,AutoNation,New York,BMW X7,62206.18
Alex Davis,BMW7135,CarMax,Chicago,BMW X1,99207.25
Sarah Williams,BMW7984,Sonic Automotive,New York,BMW 3 Series,61818.0
David Miller,BMW5938,Lithia Motors,Chicago,BMW 3 Series,92333.3
Laura Jones,BMW1609,Sonic Automotive,San Antonio,BMW X1,35247.48
Alex Jones,BMW6379,Penske Automotive,San Diego,BMW X1,58722.23
Emily Davis,BMW8656,AutoNation,Houston,BMW 3 Series,98001.23
Sarah Brown,BMW3891,Penske Automotive,San Jose,BMW X7,81988.16
Chris Miller,BMW1145,Lithia Motors,Los Angeles,BMW X5,48804.31
Sarah Smith,BMW8793,Group 1 Automotive,San Diego,BMW X3,37368.08
Katie Johnson,BMW2516,AutoNation,Los Angeles,BMW 3 Series,60070.02
David Taylor,BMW6974,Sonic Automotive,Philadelphia,BMW Z4,51987.67
Chris Jones,BMW2077,Sonic Automotive,Dallas,BMW 7 Series,37204.61
John Williams,BMW5330,Penske Automotive,New York,BMW X5,68195.39
Laura Williams,BMW9819,AutoNation,Los Angeles,BMW X1,90595.48
David Smith,BMW3528,Sonic Automotive,Philadelphia,BMW 7 Series,53702.53
Emily Taylor,BMW9665,Sonic Automotive,San Diego,BMW X7,61990.21
Michael Williams,BMW3221,AutoNation,San Diego,BMW X7,92353.07
Chris Jones,BMW4976,Penske Automotive,San Antonio,BMW X1,55328.47
Emily Brown,BMW5684,Penske Automotive,New York,BMW X3,53840.92
Sarah Wilson,BMW6005,Group 1 Automotive,Chicago,BMW Z4,73899.15
Katie Jones,BMW2992,Lithia Motors,Phoenix,BMW 5 Series,83334.52
Emily Williams,BMW2895,Lithia Motors,New York,BMW X5,43322.14
Alex Jones,BMW5198,AutoNation,Dallas,BMW 7 Series,50390.98
John Smith,BMW2950,CarMax,Dallas,BMW 3 Series,65266.42
Alex Johnson,BMW2022,Penske Automotive,Los Angeles,BMW X3,64958.54
Jane Moore,BMW9166,Lithia Motors,San Jose,BMW X1,80763.59
Sarah Moore,BMW4964,Lithia Motors,Los Angeles,BMW 3 Series,63964.76
John Williams,BMW3052,Hendrick Automotive,San Antonio,BMW X7,66705.12
Chris Smith,BMW9340,Group 1 Automotive,Dallas,BMW 3 Series,98380.15
John Jones,BMW4357,Sonic Automotive,New York,BMW Z4,80545.81
David Williams,BMW6999,AutoNation,Chicago,BMW X3,41181.36
Emily Johnson,BMW6550,Sonic Automotive,Houston,BMW 5 Series,65810.49
John Johnson,BMW5422,Hendrick Automotive,Houston,BMW X5,67247.32
John Brown,BMW6253,Group 1 Automotive,Los Angeles,BMW 7 Series,46104.71
Michael Davis,BMW1530,Lithia Motors,Los Angeles,BMW 5 Series,79985.73
Emily Taylor,BMW5580,Lithia Motors,Houston,BMW Z4,65070.26
Jane Williams,BMW6126,Penske Automotive,San Jose,BMW 7 Series,72864.31
Katie Brown,BMW4587,Group 1 Automotive,Philadelphia,BMW X5,97042.15
John Williams,BMW9871,AutoNation,New York,BMW Z4,42614.71
Laura Johnson,BMW7341,Lithia Motors,New York,BMW Z4,66670.61
David Davis,BMW3710,CarMax,Phoenix,BMW X7,79209.01
Sarah Johnson,BMW9966,Lithia Motors,Philadelphia,BMW X1,53636.42
Michael Williams,BMW4990,Hendrick Automotive,Chicago,BMW 7 Series,94752.25
Jane Taylor,BMW4088,Penske Automotive,Phoenix,BMW X7,41770.08
Alex Taylor,BMW8188,Sonic Automotive,Houston,BMW 5 Series,53044.78
Laura Johnson,BMW8173,Lithia Motors,San Jose,BMW X1,87527.67
Katie Jones,BMW5080,CarMax,San Diego,BMW X5,43523.25
Chris Davis,BMW3207,Penske Automotive,Dallas,BMW 7 Series,63875.23
Emily Jones,BMW3180,Sonic Automotive,San Jose,BMW X1,46110.3
Michael Davis,BMW8254,Lithia Motors,San Antonio,BMW 5 Series,64039.85
Chris Miller,BMW6303,Lithia Motors,Dallas,BMW Z4,61516.39
Katie Wilson,BMW4481,Sonic Automotive,San Antonio,BMW X3,42548.88
David Davis,BMW4281,Group 1 Automotive,Dallas,BMW 7 Series,55723.13
Chris Wilson,BMW5212,Sonic Automotive,Houston,BMW Z4,56498.47
Katie Miller,BMW1342,Sonic Automotive,San Jose,BMW X7,88924.98
Sarah Smith,BMW7773,Lithia Motors,Houston,BMW X1,62425.52
John Johnson,BMW3813,CarMax,San Antonio,BMW 5 Series,68021.63
Alex Williams,BMW4643,Penske Automotive,Phoenix,BMW X3,49688.34
John Smith,BMW1213,Hendrick Automotive,San Antonio,BMW X1,93901.87
Michael Jones,BMW8549,CarMax,Houston,BMW 3 Series,89460.68
Laura Moore,BMW3459,Lithia Motors,Chicago,BMW Z4,97806.6
Emily Moore,BMW9355,Lithia Motors,San Jose,BMW Z4,98029.81
David Davis,BMW2212,Hendrick Automotive,Los Angeles,BMW X7,40773.97
Michael Jones,BMW1872,Penske Automotive,Phoenix,BMW X5,96350.18
Alex Davis,BMW7067,Group 1 Automotive,Chicago,BMW Z4,71895.56
Chris Jones,BMW5752,Lithia Motors,Philadelphia,BMW 7 Series,72965.12
Jane Taylor,BMW5418,Sonic Automotive,Phoenix,BMW X3,70327.72
Emily Wilson,BMW9168,CarMax,San Jose,BMW 7 Series,64628.21
David Jones,BMW9830,Lithia Motors,Houston,BMW X3,56114.42
Emily Wilson,BMW1699,AutoNation,New York,BMW Z4,61424.66
Emily Moore,BMW6811,Hendrick Automotive,Los Angeles,BMW X5,41792.89
John Johnson,BMW4295,Sonic Automotive,Los Angeles,BMW X5,40516.61
Michael Williams,BMW4682,CarMax,San Diego,BMW 7 Series,37935.13
Emily Miller,BMW2631,CarMax,New York,BMW X1,48822.51
John Miller,BMW2342,Penske Automotive,Philadelphia,BMW 3 Series,94570.63
Michael Davis,BMW4734,Group 1 Automotive,San Diego,BMW 5 Series,61945.13
John Williams,BMW8733,CarMax,San Antonio,BMW X7,75188.11
Chris Williams,BMW4610,Hendrick Automotive,Los Angeles,BMW X1,91956.4
Chris Taylor,BMW3364,Penske Automotive,Los Angeles,BMW 5 Series,64668.86
Chris Wilson,BMW1758,Penske Automotive,San Jose,BMW X7,91795.3
Katie Miller,BMW6911,Lithia Motors,Dallas,BMW X7,66042.47
Laura Brown,BMW3782,Hendrick Automotive,San Antonio,BMW X7,37837.96
Emily Jones,BMW7947,AutoNation,Dallas,BMW X3,69870.79
Alex Smith,BMW5930,Hendrick Automotive,Los Angeles,BMW 5 Series,94879.81
Katie Wilson,BMW8040,CarMax,Phoenix,BMW 7 Series,75762.1
Michael Moore,BMW7706,CarMax,San Jose,BMW 3 Series,66761.34
Chris Smith,BMW3669,Penske Automotive,Philadelphia,BMW X5,66335.46
Katie Williams,BMW3636,AutoNation,Dallas,BMW 5 Series,50358.14
Laura Brown,BMW1504,Penske Automotive,Houston,BMW X5,93486.06
Sarah Moore,BMW5056,Hendrick Automotive,Dallas,BMW X1,77297.93
David Davis,BMW8986,Lithia Motors,San Antonio,BMW 3 Series,49468.68
Sarah Johnson,BMW9593,CarMax,Philadelphia,BMW 5 Series,87142.09
David Wilson,BMW2687,CarMax,San Diego,BMW 7 Series,37848.5
David Taylor,BMW8418,Group 1 Automotive,Houston,BMW 3 Series,73902.35
Emily Moore,BMW9150,Hendrick Automotive,Philadelphia,BMW Z4,56321.75
Chris Brown,BMW4673,Group 1 Automotive,Chicago,BMW Z4,83210.8
Jane Johnson,BMW8770,Sonic Automotive,San Antonio,BMW X5,80262.22
Emily Taylor,BMW4952,Penske Automotive,Houston,BMW X5,89042.82
Laura Moore,BMW3048,Group 1 Automotive,Dallas,BMW X3,80069.32
Sarah Taylor,BMW4468,Group 1 Automotive,Chicago,BMW X5,60776.86
Chris Smith,BMW6562,Hendrick Automotive,San Antonio,BMW X5,57675.19
Laura Davis,BMW1910,Group 1 Automotive,Phoenix,BMW X5,37795.48
David Johnson,BMW5157,Penske Automotive,San Antonio,BMW X5,75598.32
Emily Johnson,BMW5666,Sonic Automotive,San Jose,BMW 3 Series,79816.17
Alex Wilson,BMW3285,AutoNation,Philadelphia,BMW Z4,66769.44
Alex Brown,BMW2692,CarMax,San Jose,BMW 3 Series,57430.38
John Taylor,BMW5735,Penske Automotive,Houston,BMW X5,74108.28
Jane Johnson,BMW4945,Penske Automotive,Houston,BMW Z4,86597.78
Michael Jones,BMW1558,Lithia Motors,Los Angeles,BMW X7,90237.45
Michael Brown,BMW1285,Hendrick Automotive,Phoenix,BMW X3,38739.87
John Wilson,BMW4630,Lithia Motors,San Antonio,BMW X1,54281.51
Jane Wilson,BMW5051,Penske Automotive,New York,BMW 3 Series,42972.38
John Taylor,BMW4696,Sonic Automotive,Phoenix,BMW X7,76252.14
John Williams,BMW2404,Hendrick Automotive,Los Angeles,BMW 5 Series,80144.8
Jane Brown,BMW8632,Sonic Automotive,Philadelphia,BMW X3,60072.75
Chris Miller,BMW4753,AutoNation,New York,BMW X1,56437.48
John Smith,BMW6383,CarMax,San Antonio,BMW 5 Series,90341.4
Laura Brown,BMW3699,Group 1 Automotive,San Antonio,BMW X1,64593.55
Katie Wilson,BMW9816,Penske Automotive,San Diego,BMW X1,69087.3
John Davis,BMW5804,Sonic Automotive,Phoenix,BMW X1,74864.35
Alex Wilson,BMW5468,Sonic Automotive,Los Angeles,BMW Z4,57160.39
Jane Taylor,BMW7221,AutoNation,Los Angeles,BMW 7 Series,90020.74
Alex Johnson,BMW1322,Penske Automotive,Chicago,BMW 7 Series,65426.69
Laura Taylor,BMW5553,CarMax,Philadelphia,BMW 3 Series,37043.12
Chris Johnson,BMW9381,Sonic Automotive,San Jose,BMW X5,93200.7
Laura Moore,BMW8703,Penske Automotive,Houston,BMW Z4,57017.42
Laura Taylor,BMW9204,CarMax,Chicago,BMW Z4,81245.45
Jane Miller,BMW1749,CarMax,San Jose,BMW X3,36567.46
Alex Williams,BMW5495,Sonic Automotive,Philadelphia,BMW 7 Series,96596.43
Jane Taylor,BMW4353,Group 1 Automotive,Phoenix,BMW X7,67774.22
Sarah Jones,BMW8321,CarMax,Chicago,BMW X1,78071.31
Chris Davis,BMW1600,Penske Automotive,Philadelphia,BMW 3 Series,69949.09
Michael Jones,BMW4878,AutoNation,San Antonio,BMW X3,78938.32
Jane Jones,BMW2685,Lithia Motors,San Antonio,BMW X3,58244.16
Alex Johnson,BMW3701,Penske Automotive,Dallas,BMW X1,71069.54
Emily Johnson,BMW7077,AutoNation,Philadelphia,BMW X7,38136.79
Laura Jones,BMW4248,Penske Automotive,Chicago,BMW X5,61664.73
David Williams,BMW6122,AutoNation,San Antonio,BMW Z4,35454.82
John Johnson,BMW2255,Penske Automotive,San Antonio,BMW Z4,99621.37
Laura Taylor,BMW3309,Penske Automotive,Dallas,BMW 5 Series,49437.78
Sarah Smith,BMW4311,Group 1 Automotive,New York,BMW 3 Series,77063.01
Sarah Jones,BMW9756,Group 1 Automotive,Phoenix,BMW X7,62495.28
Chris Davis,BMW5940,Hendrick Automotive,San Jose,BMW X5,87536.79
Alex Johnson,BMW1748,Lithia Motors,San Jose,BMW Z4,98955.55
Alex Smith,BMW3371,Penske Automotive,Houston,BMW X7,56896.64
Sarah Smith,BMW3024,Hendrick Automotive,Dallas,BMW X5,92596.88
Chris Taylor,BMW6460,Hendrick Automotive,Houston,BMW 3 Series,74645.38
Laura Williams,BMW9630,Penske Automotive,New York,BMW X3,62967.11
Sarah Johnson,BMW9550,Penske Automotive,San Diego,BMW Z4,77673.14
John Davis,BMW8773,Lithia Motors,Houston,BMW 5 Series,77725.62
Michael Williams,BMW4402,Hendrick Automotive,San Diego,BMW 3 Series,40721.98
John Wilson,BMW2096,AutoNation,San Jose,BMW X7,45877.78
Katie Wilson,BMW4668,Group 1 Automotive,San Jose,BMW 7 Series,65591.23
Katie Brown,BMW4026,Group 1 Automotive,San Antonio,BMW X7,94592.99
Chris Davis,BMW3499,Penske Automotive,Chicago,BMW X3,55655.33
Katie Williams,BMW9410,Group 1 Automotive,Phoenix,BMW X1,63225.05
Chris Smith,BMW7016,Penske Automotive,New York,BMW 5 Series,73320.32
Katie Miller,BMW9167,Group 1 Automotive,San Jose,BMW 5 Series,88304.29
John Brown,BMW6776,Group 1 Automotive,San Diego,BMW 5 Series,52922.58
Michael Wilson,BMW7098,Group 1 Automotive,New York,BMW 5 Series,86639.8
Alex Jones,BMW4529,AutoNation,San Jose,BMW X3,80257.77
Katie Miller,BMW2001,Lithia Motors,New York,BMW X5,87071.7
Jane Miller,BMW6612,CarMax,Dallas,BMW Z4,66043.14
Alex Brown,BMW2069,AutoNation,Dallas,BMW Z4,71597.69
Michael Davis,BMW6125,AutoNation,San Jose,BMW 5 Series,98883.1
Jane Williams,BMW6255,AutoNation,San Jose,BMW Z4,73537.5
Michael Jones,BMW1168,AutoNation,Phoenix,BMW X3,76460.81
Chris Jones,BMW6595,AutoNation,Los Angeles,BMW Z4,49780.52
David Johnson,BMW3421,AutoNation,Dallas,BMW X1,85817.52
Emily Wilson,BMW4539,Sonic Automotive,Chicago,BMW Z4,71999.08
Michael Moore,BMW9448,AutoNation,San Diego,BMW X5,56646.09
Katie Wilson,BMW7383,Lithia Motors,San Jose,BMW X3,74559.48
Michael Brown,BMW8554,Lithia Motors,San Diego,BMW Z4,68270.27
David Jones,BMW4464,CarMax,San Diego,BMW X1,95098.55
John Smith,BMW6587,Penske Automotive,Houston,BMW X3,46798.76
John Smith,BMW5697,Hendrick Automotive,Phoenix,BMW X3,43016.24
Emily Johnson,BMW5721,Group 1 Automotive,Philadelphia,BMW X5,90524.96
Katie Davis,BMW1733,Group 1 Automotive,Dallas,BMW 5 Series,77279.3
Sarah Jones,BMW9641,Sonic Automotive,New York,BMW X3,41518.82
Jane Jones,BMW7208,Hendrick Automotive,Phoenix,BMW 3 Series,80355.05
Alex Davis,BMW4846,Penske Automotive,San Diego,BMW X7,48207.83
Alex Williams,BMW3541,Sonic Automotive,Philadelphia,BMW X7,93498.35
David Davis,BMW6051,AutoNation,Phoenix,BMW 7 Series,98854.56
Alex Williams,BMW7246,CarMax,Phoenix,BMW 5 Series,57239.23
Katie Johnson,BMW2071,Lithia Motors,Dallas,BMW X3,96677.28
Katie Taylor,BMW1885,AutoNation,Houston,BMW 3 Series,56952.24
Katie Brown,BMW7261,AutoNation,San Jose,BMW Z4,60799.41
Jane Brown,BMW8655,CarMax,Houston,BMW 3 Series,67980.97
Alex Jones,BMW6506,Lithia Motors,Dallas,BMW 7 Series,84141.52
Katie Moore,BMW8703,AutoNation,Houston,BMW X5,80641.27
John Johnson,BMW8147,Hendrick Automotive,Philadelphia,BMW Z4,94037.97
Sarah Brown,BMW3479,AutoNation,San Jose,BMW 7 Series,54419.75
John Moore,BMW1085,Penske Automotive,San Diego,BMW X1,36553.91
Jane Taylor,BMW5113,Penske Automotive,San Jose,BMW 3 Series,64196.46
Emily Moore,BMW7512,CarMax,Philadelphia,BMW X7,49120.52
Jane Moore,BMW7616,Lithia Motors,Philadelphia,BMW X1,36136.55
Jane Brown,BMW4337,AutoNation,New York,BMW X5,71305.08
Katie Moore,BMW3505,CarMax,San Antonio,BMW 7 Series,85882.52
John Davis,BMW2746,AutoNation,Phoenix,BMW Z4,56208.09
Alex Miller,BMW3372,Penske Automotive,San Diego,BMW 3 Series,90062.56
Michael Wilson,BMW4916,AutoNation,San Antonio,BMW 5 Series,60063.19
Katie Brown,BMW5617,Lithia Motors,San Jose,BMW X1,85352.94
Sarah Miller,BMW9222,CarMax,San Jose,BMW X7,46769.95
Chris Brown,BMW1611,Hendrick Automotive,Los Angeles,BMW X3,69477.53
Jane Wilson,BMW3786,CarMax,Dallas,BMW Z4,51278.67
Jane Brown,BMW3732,Sonic Automotive,Dallas,BMW X1,47376.12
Emily Brown,BMW6318,Penske Automotive,Chicago,BMW 5 Series,67006.91
Chris Jones,BMW8138,Sonic Automotive,San Antonio,BMW X3,44621.7
Alex Smith,BMW4930,Group 1 Automotive,San Diego,BMW X3,47400.85
Katie Wilson,BMW2566,Lithia Motors,Chicago,BMW 3 Series,41265.07
Katie Johnson,BMW4046,AutoNation,Philadelphia,BMW 5 Series,55331.17
John Brown,BMW7000,Group 1 Automotive,Chicago,BMW X3,60832.77
Chris Moore,BMW3720,AutoNation,Philadelphia,BMW 5 Series,49243.55
David Davis,BMW2109,CarMax,Philadelphia,BMW 7 Series,54581.89
Alex Smith,BMW8360,Hendrick Automotive,San Jose,BMW X3,42966.19
Jane Brown,BMW2946,Group 1 Automotive,Dallas,BMW 3 Series,67318.7
Alex Davis,BMW5212,Hendrick Automotive,San Diego,BMW X1,39237.53
David Moore,BMW9268,Sonic Automotive,Los Angeles,BMW X5,77090.62
Sarah Wilson,BMW4511,AutoNation,Phoenix,BMW X7,53707.32
Sarah Davis,BMW1378,AutoNation,San Jose,BMW Z4,86624.33
Sarah Wilson,BMW9798,Penske Automotive,Dallas,BMW X5,99353.9
John Jones,BMW7300,Group 1 Automotive,Philadelphia,BMW X3,73323.04
Laura Moore,BMW2621,Sonic Automotive,San Jose,BMW Z4,95539.02
Jane Smith,BMW2113,Group 1 Automotive,Phoenix,BMW 7 Series,83676.35
John Davis,BMW6664,AutoNation,Philadelphia,BMW X3,48482.96
Emily Smith,BMW9098,Lithia Motors,New York,BMW 5 Series,87248.16
David Williams,BMW9472,AutoNation,Phoenix,BMW X3,87004.21
Sarah Davis,BMW1711,AutoNation,San Antonio,BMW 7 Series,47338.38
Chris Moore,BMW4308,Sonic Automotive,San Diego,BMW X3,67822.23
Katie Brown,BMW6073,CarMax,San Diego,BMW 7 Series,90120.06
Katie Jones,BMW1927,Group 1 Automotive,Chicago,BMW Z4,79746.87
Jane Johnson,BMW1986,Sonic Automotive,San Diego,BMW X1,79729.59
Michael Jones,BMW4830,Penske Automotive,San Antonio,BMW 7 Series,94287.7
David Brown,BMW1433,Penske Automotive,New York,BMW Z4,75066.6
David Williams,BMW4728,Group 1 Automotive,San Jose,BMW 7 Series,93577.33
Michael Davis,BMW9707,Group 1 Automotive,Chicago,BMW X5,65784.11
Sarah Wilson,BMW7799,Lithia Motors,San Antonio,BMW X1,47979.11
John Davis,BMW2573,AutoNation,Philadelphia,BMW 5 Series,81446.25
Emily Miller,BMW4350,Sonic Automotive,Phoenix,BMW 7 Series,35173.34
Alex Moore,BMW2214,Hendrick Automotive,San Diego,BMW X7,61877.24
Jane Moore,BMW8623,AutoNation,Dallas,BMW X1,50467.26
Emily Taylor,BMW4343,Hendrick Automotive,New York,BMW X5,44959.3
Laura Miller,BMW1854,Lithia Motors,San Jose,BMW Z4,38139.32
Laura Miller,BMW4149,Penske Automotive,Los Angeles,BMW 3 Series,79539.7
Katie Williams,BMW8859,Hendrick Automotive,New York,BMW X1,53608.65
Katie Johnson,BMW5622,Hendrick Automotive,New York,BMW X1,53408.46
John Jones,BMW4791,Hendrick Automotive,Phoenix,BMW X5,53043.79
Alex Moore,BMW4973,Group 1 Automotive,Dallas,BMW 7 Series,35486.39
Michael Wilson,BMW8007,Penske Automotive,Dallas,BMW 3 Series,43997.34
Chris Moore,BMW1184,AutoNation,Los Angeles,BMW X7,38848.66
David Smith,BMW9089,Hendrick Automotive,San Jose,BMW Z4,98149.96
Emily Brown,BMW7168,Hendrick Automotive,San Jose,BMW X7,86057.65
Laura Miller,BMW6274,Hendrick Automotive,San Diego,BMW X1,83953.32
John Davis,BMW3580,Sonic Automotive,Chicago,BMW X7,79000.84
Jane Williams,BMW5267,Penske Automotive,Chicago,BMW X3,78767.93
Katie Williams,BMW8325,Penske Automotive,San Diego,BMW X1,41610.88
John Wilson,BMW7772,Sonic Automotive,Dallas,BMW X7,81074.3
Chris Miller,BMW7532,Sonic Automotive,Houston,BMW 5 Series,54865.8
Jane Brown,BMW1615,Penske Automotive,San Jose,BMW X7,36297.58
Alex Brown,BMW1319,Hendrick Automotive,Philadelphia,BMW X5,46434.22
Chris Williams,BMW1367,Penske Automotive,New York,BMW 7 Series,92610.28
Emily Johnson,BMW6634,Penske Automotive,San Antonio,BMW 3 Series,73811.02
Laura Wilson,BMW4379,AutoNation,Philadelphia,BMW Z4,80991.66
David Moore,BMW6671,Penske Automotive,San Diego,BMW X3,52115.42
David Williams,BMW8469,Sonic Automotive,Chicago,BMW 5 Series,50238.0
Alex Moore,BMW6380,Penske Automotive,Dallas,BMW Z4,51250.88
Katie Brown,BMW6049,Sonic Automotive,Dallas,BMW X7,53784.5
John Moore,BMW8336,Penske Automotive,Chicago,BMW X5,81273.74
Laura Miller,BMW4984,CarMax,San Antonio,BMW Z4,79162.32
David Davis,BMW6263,AutoNation,New York,BMW 5 Series,92218.46
Michael Williams,BMW9449,AutoNation,Houston,BMW X5,67530.18
Emily Jones,BMW1178,Hendrick Automotive,New York,BMW X1,35211.81
John Johnson,BMW7216,Group 1 Automotive,San Antonio,BMW 3 Series,66693.03
Alex Johnson,BMW5906,AutoNation,Philadelphia,BMW X7,39432.2
Emily Davis,BMW5950,Hendrick Automotive,Houston,BMW X5,38662.47
Emily Miller,BMW5873,Penske Automotive,Philadelphia,BMW 5 Series,42410.49
Sarah Davis,BMW2049,CarMax,Phoenix,BMW X7,89241.94
John Williams,BMW8053,Lithia Motors,San Jose,BMW X7,53937.67
John Smith,BMW2709,Hendrick Automotive,San Jose,BMW X7,48824.69
